DBN,school_name,math_score,reading_score,writing_score
08X282,WOMEN'S ACADEMY OF EXCELLENCE,386,407,378
08X293,RENAISSANCE HIGH SCHOOL FOR MUSICAL THEATER & TECHNOLOGY,385,384,389
08X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECHNOLOGY,390,416,394
08X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD STUDIES,361,337,340
08X312,MILLENNIUM ART ACADEMY,402,387,375
08X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,371,363,350
08X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",s,s,s
08X376,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOARD SCHOOL",s,s,s
08X377,BRONX COMMUNITY HIGH SCHOOL,969,367,376
08X405,HERBERT H. LEHMAN HIGH SCHOOL,436,412,393
08X408,HERBERT H. LEHMAN YABC,373,402,413
08X432,BRONX BRIDGES HIGH SCHOOL,s,s,s
08X452,BRONX GUILD,371,369,365
08X507,STEVENSON YABC,s,s,s
08X519,"FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUBLIC POLICY, THE",370,373,356
08X530,BANANA KELLY HIGH SCHOOL,381,373,377
08X537,BRONX ARENA HIGH SCHOOL,s,s,s
08X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,400,366,368
08X560,HIGH SCHOOL X560 s BRONX ACADEMY HIGH SCHOOL,368,404,399
08X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,359,377,376
09X227,BRONX EXPEDITIONARY LEARNING HIGH SCHOOL,376,324,349
09X231,EAGLE ACADEMY FOR YOUNG MEN,387,373,374
09X239,"URBAN ASSEMBLY ACADEMY FOR HISTORY AND CITIZENSHIP FOR YOUNG MEN, THE",355,372,357
09X241,"URBAN ASSEMBLY SCHOOL FOR APPLIED MATH AND SCIENCE, THE",464,411,415
09X250,EXIMIUS COLLEGE PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL,394,393,382
09X252,MOTT HALL BRONX HIGH SCHOOL,367,369,356
09X260,BRONX CENTER FOR SCIENCE AND MATHEMATICS,480,459,457
09X263,VALIDUS PREPARATORY ACADEMY: AN EXPEDITIONARY LEARNING SCHOOL,363,356,356
09X276,LEADERSHIP INSTITUTE,353,361,367
09X297,MORRIS ACADEMY FOR COLLABORATIVE STUDIES,386,386,376
09X324,BRONX EARLY COLLEGE ACADEMY FOR TEACHING & LEARNING,s,s,s
09X329,DREAMYARD PREPARATORY SCHOOL,365,382,391
09X365,ACADEMY FOR LANGUAGE AND TECHNOLOGY,339,315,297
09X403,BRONX INTERNATIONAL HIGH SCHOOL,312,314,339
09X404,SCHOOL FOR EXCELLENCE,360,363,351
09X412,BRONX HIGH SCHOOL OF BUSINESS,376,356,351
09X413,BRONX HIGH SCHOOL FOR MEDICAL SCIENCE,419,400,402
09X414,JONATHAN LEVIN HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,364,379,379
09X505,"BRONX SCHOOL FOR LAW, GOVERNMENT AND JUSTICE",418,404,402
09X517,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,384,368,369
09X525,BRONX LEADERSHIP ACADEMY HIGH SCHOOL,394,384,388
09X543,HIGH SCHOOL FOR VIOLIN AND DANCE,315,353,371
10X141,RIVERDALE / KINGSBRIDGE ACADEMY (MIDDLE SCHOOL / HIGH SCHOOL 141),455,438,440
10X213,BRONX ENGINEERING AND TECHNOLOGY ACADEMY,412,373,365
10X225,THEATRE ARTS PRODUCTION COMPANY SCHOOL,391,405,394
10X237,"THE MARIE CURIE SCHOOL FOR MEDICINE, NURSING, AND HEALTH PROFESSIONS",393,382,382
10X243,WEST BRONX ACADEMY FOR THE FUTURE,406,382,370
10X268,KINGSBRIDGE INTERNATIONAL HIGH SCHOOL,356,304,302
10X284,BRONX SCHOOL OF LAW AND FINANCE,395,402,385
10X319,PROVIDING URBAN LEARNERS SUCCESS IN EDUCATION HIGH SCHOOL,s,s,s
10X342,INTERNATIONAL SCHOOL FOR LIBERAL ARTS,333,300,301
10X368,INsTECH ACADEMY (M.S. / HIGH SCHOOL 368),408,390,383
10X374,KNOWLEDGE AND POWER PREPARATORY ACADEMY INTERNATIONAL HIGH SCHOOL (KAPPA),401,392,387
